DATA START WALK AROUND 2/15 5:30pm
ID,Temperature (degC),Pressure (Pa),Humidity (%),Latitude (deg),Longitude (deg),Mode,GPS Time,Alt,EPX,EPY,EPV,Speed,Hdop,Vdop,Time
163,-11.68,803.9539771991441,45.93305303985413,38.849873369,-104.822392583,3,u'2021-02-16T00:50:55.000Z',1852.299,8.209,10.225,38.87,1.316,,,04:56:46.746297
164,-11.69,803.9344454140405,45.38347308408748,38.849898705,-104.822429699,3,u'2021-02-16T00:50:58.000Z',1851.675,8.209,10.225,38.87,1.248,,,04:56:49.753387
165,-11.7,803.9995785230234,45.17317656335401,,,,,,,,,,0.94,1.69,04:56:52.749144
166,-11.7,803.9114435599132,45.46408150974819,38.84992649,-104.822498469,3,u'2021-02-16T00:51:03.000Z',1851.686,9.678,10.344,31.74,1.072,,,04:56:55.016468
167,-11.71,803.884971879884,44.973587175328724,38.849941331,-104.822544312,3,u'2021-02-16T00:51:06.000Z',1851.617,9.678,10.344,38.87,1.229,,,04:56:57.754531
168,-11.71,803.9570442763536,45.03817383067713,38.849951319,-104.822582255,3,u'2021-02-16T00:51:09.000Z',1851.531,9.678,10.344,31.74,1.222,,,04:57:00.748663
169,-11.72,803.9019211702566,44.89239909439513,38.849951392,-104.8226204,3,u'2021-02-16T00:51:11.000Z',1850.724,8.209,10.225,31.74,1.388,,,04:57:03.758625
170,-11.74,803.8936891942138,45.06980026558544,38.849956542,-104.822672119,3,u'2021-02-16T00:51:14.000Z',1851.528,8.209,10.225,31.74,1.215,,,04:57:05.757945
171,-11.74,803.8990713509534,45.5382982345387,38.84995821,-104.822720399,3,u'2021-02-16T00:51:17.000Z',1851.362,8.209,10.225,31.74,1.258,,,04:57:08.751066
172,-11.76,803.9125471695875,45.46242962705756,38.849956043,-104.822771574,3,u'2021-02-16T00:51:20.000Z',1851.39,8.209,10.225,31.74,1.454,,,04:57:11.757875
173,-11.79,803.9716124282173,45.370081012016044,38.84994919,-104.822806178,3,u'2021-02-16T00:51:22.000Z',1851.506,8.209,10.225,31.74,1.39,,,04:57:14.751176
174,-11.8,803.9105787375735,45.34833695055237,38.84993471,-104.82284812,3,u'2021-02-16T00:51:25.000Z',1851.462,8.209,10.225,31.74,1.299,,,04:57:16.750841
175,-11.83,803.9481985661064,45.48764107858578,38.849918943,-104.822889171,3,u'2021-02-16T00:51:28.000Z',1851.276,8.209,10.225,31.74,1.219,,,04:57:19.758177
176,-11.86,803.9566328647965,45.4437637814444,,,,,,,,,,0.88,1.38,04:57:22.747845
177,-11.86,803.9496911779761,45.23900499371363,38.849884973,-104.822956274,3,u'2021-02-16T00:51:33.000Z',1850.682,8.208,10.236,31.74,1.268,,,04:57:25.032361
178,-11.85,803.9330204676269,45.76711474821337,38.849863329,-104.822994332,3,u'2021-02-16T00:51:36.000Z',1849.776,8.208,10.236,31.74,1.397,,,04:57:27.757658
179,-11.83,803.9629621234355,45.713607585556225,38.849835398,-104.823022755,3,u'2021-02-16T00:51:39.000Z',1849.658,8.208,10.236,31.74,1.46,,,04:57:30.750267
180,-11.85,803.9223413403677,45.78305884550668,38.849818541,-104.823038528,3,u'2021-02-16T00:51:41.000Z',1848.682,8.202,10.237,31.74,1.161,,,04:57:33.754241
181,-11.86,803.9245165725368,45.90668968838344,38.849788546,-104.823056822,3,u'2021-02-16T00:51:44.000Z',1847.827,8.202,10.237,31.74,1.374,,,04:57:35.772348
182,-11.88,803.9813882311365,45.9060706481157,38.849758923,-104.823079188,3,u'2021-02-16T00:51:47.000Z',1847.75,8.202,10.237,31.74,1.45,,,04:57:38.750132
183,-11.92,803.9646421149619,45.754503180350916,38.849725912,-104.823093269,3,u'2021-02-16T00:51:50.000Z',1847.949,8.202,10.237,31.74,1.327,,,04:57:41.757936
184,-11.93,803.9598731190517,45.759547062568295,38.849703226,-104.823098031,3,u'2021-02-16T00:51:52.000Z',1848.08,8.202,10.237,31.74,1.39,,,04:57:44.748129
185,-11.94,803.9516328051333,45.86680145713619,38.849671195,-104.823094565,3,u'2021-02-16T00:51:55.000Z',1847.729,8.202,10.237,31.74,1.263,,,04:57:46.752816
186,-11.95,803.9733329613039,46.14125406628909,38.84963606,-104.823090067,3,u'2021-02-16T00:51:58.000Z',1847.536,8.202,10.237,62.33,1.375,,,04:57:49.758957
187,-11.95,804.0167327095238,46.334877390622175,,,,,,,,,,0.94,1.39,04:57:52.750484
188,-11.96,803.9742058310457,46.56055679458205,38.849575233,-104.823080365,3,u'2021-02-16T00:52:03.000Z',1847.839,8.413,11.41,31.97,1.213,,,04:57:55.028963
189,-11.96,803.9972047231594,46.79756456142505,38.849541856,-104.823067191,3,u'2021-02-16T00:52:06.000Z',1847.945,8.413,11.41,31.97,1.208,,,04:57:57.750089
190,-11.98,804.0069230035042,46.83463126617103,38.849508007,-104.823045766,3,u'2021-02-16T00:52:09.000Z',1848.323,8.413,11.41,31.97,1.338,,,04:58:00.750212
191,-11.99,803.9769818133194,46.90958962836489,38.849486754,-104.823032384,3,u'2021-02-16T00:52:11.000Z',1847.794,8.441,11.37,32.2,1.237,,,04:58:03.749688
192,-11.99,803.9826239819387,46.87177427590234,38.849456761,-104.823003408,3,u'2021-02-16T00:52:14.000Z',1848.135,8.441,11.37,32.2,1.302,,,04:58:05.750378
193,-12.02,803.9444407235009,47.01083775212593,38.849433224,-104.822973311,3,u'2021-02-16T00:52:17.000Z',1847.267,8.441,11.37,116.15,1.309,,,04:58:08.751086
194,-12.02,803.9730800154056,46.962491320398456,38.849412506,-104.822949585,3,u'2021-02-16T00:52:20.000Z',1845.724,8.441,11.37,118.22,0.962,,,04:58:11.744894
195,-12.03,804.0218473068584,46.88148039005837,38.849404907,-104.822925371,3,u'2021-02-16T00:52:22.000Z',1844.555,18.321,52.799,118.22,1.046,,,04:58:14.747425
196,-12.04,804.0149043281353,46.762963726217514,38.849385535,-104.822893617,3,u'2021-02-16T00:52:25.000Z',1843.001,18.321,52.799,118.45,1.059,,,04:58:16.745283
197,-12.05,804.0604645934286,46.681887939706414,38.8493619,-104.822860692,3,u'2021-02-16T00:52:28.000Z',1844.22,18.321,52.799,118.45,1.027,,,04:58:19.744895
198,-12.07,803.9663045163979,46.68122380021851,,,,,,,,,,0.88,1.39,04:58:22.758294
199,-12.09,804.0046515384286,46.782916552392095,38.849334339,-104.822779152,3,u'2021-02-16T00:52:33.000Z',1848.354,8.228,10.252,31.97,1.06,,,04:58:25.034866
200,-12.09,803.9885973841017,46.81511972150039,38.849331064,-104.822733803,3,u'2021-02-16T00:52:36.000Z',1849.3,8.228,10.252,31.97,1.031,,,04:58:27.750705
201,-12.1,804.0159303179544,46.75572095441598,38.849335649,-104.822677603,3,u'2021-02-16T00:52:39.000Z',1850.15,8.228,10.252,31.97,1.418,,,04:58:30.775012
202,-12.11,804.0020439113483,46.7823208279725,38.849339972,-104.822645302,3,u'2021-02-16T00:52:41.000Z',1850.846,8.228,10.252,31.97,1.094,,,04:58:33.753236
203,-12.11,804.0237367245282,46.81990169049254,38.849345176,-104.822598551,3,u'2021-02-16T00:52:44.000Z',1850.782,8.228,10.252,31.97,1.401,,,04:58:35.750571
204,-12.13,804.0029068096585,46.67959376394485,38.849351672,-104.822554098,3,u'2021-02-16T00:52:47.000Z',1850.317,8.228,10.252,31.97,1.371,,,04:58:38.760366
205,-12.14,803.9852817581798,46.539357752979555,38.849367987,-104.822515388,3,u'2021-02-16T00:52:50.000Z',1849.917,8.228,10.252,31.97,1.281,,,04:58:41.752388
206,-12.15,804.0720468219665,46.646648898066644,38.849379545,-104.822490374,3,u'2021-02-16T00:52:52.000Z',1849.694,8.228,10.252,31.97,1.368,,,04:58:44.759022
207,-12.17,803.9757286097854,46.689237461510174,38.849399623,-104.822452935,3,u'2021-02-16T00:52:55.000Z',1849.748,8.228,10.252,31.97,1.344,,,04:58:46.759798
208,-12.19,803.9353755211404,46.88226765159111,38.849419923,-104.82242082,3,u'2021-02-16T00:52:58.000Z',1851.493,8.228,10.252,31.97,1.223,,,04:58:49.751471
209,-12.19,804.0325490012938,46.95210839126827,,,,,,,,,,0.88,1.39,04:58:52.760059
210,-12.2,804.0218663364107,47.07556723841489,38.849457689,-104.822374087,3,u'2021-02-16T00:53:03.000Z',1852.376,8.212,10.276,38.87,1.329,,,04:58:55.037829
211,-12.19,804.0004442137499,46.94120107354677,38.849488635,-104.8223472,3,u'2021-02-16T00:53:06.000Z',1852.318,8.212,10.276,38.87,1.291,,,04:58:57.751115
212,-12.19,804.0381857877105,47.312265839730664,38.849523328,-104.822320878,3,u'2021-02-16T00:53:09.000Z',1851.855,8.212,10.276,38.87,1.376,,,04:59:00.757461
213,-12.18,804.0520735222938,47.463146400585195,38.849545541,-104.822309849,3,u'2021-02-16T00:53:11.000Z',1851.312,8.21,10.261,32.2,1.259,,,04:59:03.751525
214,-12.19,804.0702909185021,47.199491673061004,38.849584206,-104.82230498,3,u'2021-02-16T00:53:14.000Z',1850.748,8.21,10.261,32.2,1.451,,,04:59:05.751622
215,-12.19,804.025605259114,46.27425829230186,38.849618251,-104.822313823,3,u'2021-02-16T00:53:17.000Z',1851.171,8.21,10.261,32.2,1.229,,,04:59:08.762177
216,-12.2,804.0218663364107,45.639392808152266,38.849630912,-104.822349266,3,u'2021-02-16T00:53:20.000Z',1850.972,8.21,10.261,32.2,1.155,,,04:59:11.748968
217,-12.2,804.0240311342848,46.30624063231203,38.84961936,-104.822379106,3,u'2021-02-16T00:53:22.000Z',1851.018,8.21,10.261,38.87,1.292,,,04:59:14.758818
218,-12.21,804.0045071935915,46.488973143892046,38.849613316,-104.822424846,3,u'2021-02-16T00:53:25.000Z',1850.831,8.21,10.261,38.87,1.098,,,04:59:16.758879
219,-12.21,804.0765163619359,46.34905588944407,38.849617106,-104.82246732,3,u'2021-02-16T00:53:28.000Z',1851.042,8.21,10.261,38.87,1.361,,,04:59:19.751897
220,-12.22,804.019251913589,46.48875477359349,,,,,,,,,,0.88,1.4,04:59:22.757159
221,-12.23,804.0613194835095,46.579747103167,38.849621848,-104.822554136,3,u'2021-02-16T00:53:33.000Z',1851.026,9.505,10.371,38.87,1.25,,,04:59:25.068516
222,-12.24,804.0439591269906,46.62778137068859,38.849622592,-104.822596031,3,u'2021-02-16T00:53:36.000Z',1850.907,9.505,10.371,38.87,1.246,,,04:59:27.751935
223,-12.26,803.9851224638136,46.70799759786781,38.849627615,-104.822642418,3,u'2021-02-16T00:53:39.000Z',1850.534,9.505,10.371,38.87,1.03,,,04:59:30.759439
224,-12.26,803.9907578636239,46.52501015567502,38.849628579,-104.822667938,3,u'2021-02-16T00:53:41.000Z',1850.257,9.445,10.391,38.87,0.911,,,04:59:33.749461
225,-12.27,804.0467088998049,46.58401814611122,38.849628151,-104.822679523,3,u'2021-02-16T00:53:44.000Z',1850.508,9.445,10.391,32.2,0.102,,,04:59:35.752489
226,-12.29,803.9595114420031,46.180177237660615,38.849629229,-104.822683553,3,u'2021-02-16T00:53:47.000Z',1850.311,9.445,10.391,32.2,0.03,,,04:59:38.760242
227,-12.32,804.1348815278997,45.851339031461194,38.849630733,-104.822682502,3,u'2021-02-16T00:53:50.000Z',1850.136,9.445,10.391,32.2,0.095,,,04:59:41.751973
228,-12.35,804.0806337718195,45.14057279267568,38.849632168,-104.822681798,3,u'2021-02-16T00:53:52.000Z',1849.858,8.199,10.278,32.2,0.098,,,04:59:44.758115
229,-12.36,804.0723765012118,44.84434465624702,38.849634845,-104.822681883,3,u'2021-02-16T00:53:55.000Z',1849.409,8.199,10.278,32.2,0.107,,,04:59:46.760358
230,-12.4,804.0863781953069,44.48306952884271,38.849637549,-104.822683287,3,u'2021-02-16T00:53:58.000Z',1848.909,8.199,10.278,32.2,0.101,,,04:59:49.751263
231,-12.43,804.1324712030168,44.568397746091634,,,,,,,,,,0.88,1.4,04:59:52.761160
232,-12.45,804.079538373181,44.46571618072788,38.849641106,-104.822685686,3,u'2021-02-16T00:54:03.000Z',1848.116,8.214,10.262,38.87,0.083,,,04:59:55.039507
233,-12.49,804.115204439767,43.991496374720676,38.849642344,-104.822687222,3,u'2021-02-16T00:54:06.000Z',1848.232,8.214,10.262,32.2,0.084,,,04:59:57.752144
234,-12.53,804.1532830878095,43.87751239379347,38.849641774,-104.822690264,3,u'2021-02-16T00:54:09.000Z',1849.108,8.214,10.262,32.43,0.074,,,05:00:00.760133
235,-12.6,804.1595552623909,43.51027107064504,38.849641464,-104.822690229,3,u'2021-02-16T00:54:11.000Z',1849.597,8.217,10.249,32.43,0.04,,,05:00:03.752751
236,-12.64,804.1109300317571,43.60629917855887,38.849642104,-104.8226907,3,u'2021-02-16T00:54:14.000Z',1849.907,8.217,10.249,32.43,0.033,,,05:00:05.752577
237,-12.69,804.12919415639,43.922402444954194,38.849642692,-104.82268716,3,u'2021-02-16T00:54:17.000Z',1849.443,8.217,10.249,32.43,0.039,,,05:00:08.760848
238,-12.75,804.0923724368182,44.001591145024825,38.849643635,-104.822683676,3,u'2021-02-16T00:54:20.000Z',1848.787,8.217,10.249,32.43,0.057,,,05:00:11.753798
239,-12.8,804.117563785402,44.37675339283321,38.849643435,-104.82268179,3,u'2021-02-16T00:54:22.000Z',1848.209,8.217,10.249,62.33,0.107,,,05:00:14.760827
240,-12.83,804.1440725052529,44.63920327495323,38.84964451,-104.8226799,3,u'2021-02-16T00:54:25.000Z',1847.997,8.217,10.249,32.66,0.049,,,05:00:16.749220
241,-12.9,804.1163219249424,44.78800715062136,38.849644413,-104.822683168,3,u'2021-02-16T00:54:28.000Z',1848.218,8.217,10.249,32.66,0.062,,,05:00:19.771416
242,-12.96,804.1171671715271,45.03886759105059,,,,,,,,,,0.94,1.42,05:00:22.752194
243,-13.0,804.1345605755574,45.23672389959596,38.849643528,-104.822689992,3,u'2021-02-16T00:54:33.000Z',1848.977,8.44,11.428,32.66,0.031,,,05:00:25.031582
244,-13.05,804.1332444787436,45.7506955543743,38.849642869,-104.822692275,3,u'2021-02-16T00:54:36.000Z',1849.212,8.44,11.428,32.66,0.064,,,05:00:27.758104
245,-13.1,804.1300471043256,45.38433463115581,38.849640894,-104.822695337,3,u'2021-02-16T00:54:39.000Z',1849.803,8.44,11.428,32.66,0.058,,,05:00:30.751239
246,-13.16,804.0838158160805,44.75999404068702,38.849640224,-104.822696725,3,u'2021-02-16T00:54:41.000Z',1850.262,8.44,11.428,32.66,0.046,,,05:00:33.751340
247,-13.2,804.1035893130684,44.372446572526066,38.84964043,-104.822698648,3,u'2021-02-16T00:54:44.000Z',1850.775,8.44,11.428,32.66,0.038,,,05:00:35.752785
248,-13.26,804.0683065742601,43.581957662099576,38.849641833,-104.822699103,3,u'2021-02-16T00:54:47.000Z',1851.06,8.44,11.428,32.66,0.071,,,05:00:38.751492
249,-13.3,804.0397025774738,43.91373461474645,38.84964335,-104.82270146,3,u'2021-02-16T00:54:50.000Z',1851.106,8.44,11.428,33.12,0.025,,,05:00:41.750037
250,-13.35,804.0522405082888,45.104089014006064,38.849644268,-104.822702855,3,u'2021-02-16T00:54:52.000Z',1851.203,9.223,11.803,32.66,0.081,,,05:00:44.750070
251,-13.39,804.1003058682322,45.26941850612238,38.849645941,-104.822703559,3,u'2021-02-16T00:54:55.000Z',1851.307,9.223,11.803,32.66,0.006,,,05:00:46.751399
252,-13.43,804.1130929933682,45.20920912113368,38.849648343,-104.822701709,3,u'2021-02-16T00:54:58.000Z',1850.896,9.223,11.803,32.66,0.067,,,05:00:49.748347
253,-13.47,804.082337607865,45.05794799007562,,,,,,,,,,0.95,1.42,05:00:52.751196
254,-13.52,804.1234264847309,45.26064121415209,38.849652902,-104.82269738,3,u'2021-02-16T00:55:03.000Z',1850.618,2.11,2.857,8.165,0.04,,,05:00:55.029820
255,-13.56,804.0675591103341,45.366821005107035,38.8496556,-104.822697131,3,u'2021-02-16T00:55:06.000Z',1850.613,2.11,2.857,8.165,0.047,,,05:00:57.750741
256,-13.6,804.0837962694122,45.896473351232494,38.849656557,-104.822698938,3,u'2021-02-16T00:55:09.000Z',1850.991,2.11,2.857,8.165,0.066,,,05:01:00.748768
257,-13.65,804.09628286254,45.33228358491375,38.849656593,-104.822698303,3,u'2021-02-16T00:55:11.000Z',1851.162,2.11,2.857,8.223,0.12,,,05:01:03.751250
258,-13.67,804.0682139436971,45.19234488067275,38.849656863,-104.822698932,3,u'2021-02-16T00:55:14.000Z',1851.523,2.11,2.857,8.223,0.07,,,05:01:05.752361
259,-13.72,804.0830815930098,45.158782553904956,38.849657499,-104.822699076,3,u'2021-02-16T00:55:17.000Z',1851.77,2.11,2.857,8.223,0.05,,,05:01:08.751686
260,-13.76,804.0808787129163,45.13097978898103,38.849658136,-104.82269759,3,u'2021-02-16T00:55:20.000Z',1851.65,2.11,2.857,8.223,0.047,,,05:01:11.748899
261,-13.81,804.0180555791766,44.684895153808895,38.849659106,-104.822696417,3,u'2021-02-16T00:55:22.000Z',1851.278,2.11,2.857,8.223,0.04,,,05:01:14.772962
262,-13.83,804.115723959672,44.49141539995325,38.849659928,-104.822693768,3,u'2021-02-16T00:55:25.000Z',1850.861,2.11,2.857,8.223,0.012,,,05:01:16.751609
263,-13.88,804.0801068242123,44.60801291516534,38.849659405,-104.822694921,3,u'2021-02-16T00:55:28.000Z',1850.981,2.11,2.857,8.223,0.091,,,05:01:19.751633
264,-13.92,804.0960247715909,44.91238382132444,,,,,,,,,,0.95,1.43,05:01:22.748120
265,-13.94,804.1093282786344,45.747719811649254,38.849657952,-104.822697924,3,u'2021-02-16T00:55:33.000Z',1851.644,2.113,2.855,8.223,0.121,,,05:01:25.030049
266,-13.97,804.0582824324617,46.73241512422834,38.849657744,-104.822698625,3,u'2021-02-16T00:55:36.000Z',1851.832,2.113,2.855,8.223,0.006,,,05:01:27.751374
267,-14.01,804.1118173088846,46.74717269645905,38.849660558,-104.822695582,3,u'2021-02-16T00:55:39.000Z',1851.157,2.113,2.855,10.81,0.066,,,05:01:30.751566
268,-14.06,804.0994186156821,45.54631475302425,38.849662209,-104.822693126,3,u'2021-02-16T00:55:41.000Z',1850.834,2.678,3.125,10.81,0.091,,,05:01:33.751315
269,-14.1,804.0344691942571,45.23465196163248,38.849663743,-104.822687435,3,u'2021-02-16T00:55:44.000Z',1850.909,2.678,3.125,8.223,0.094,,,05:01:35.751502
270,-14.13,804.080277267301,44.9660610252004,38.849664051,-104.822685337,3,u'2021-02-16T00:55:47.000Z',1851.871,2.678,3.125,8.223,0.042,,,05:01:38.751398
271,-14.17,804.0678672192984,45.28081865645116,38.849663064,-104.822683671,3,u'2021-02-16T00:55:50.000Z',1852.836,2.678,3.125,8.223,0.039,,,05:01:41.751686
272,-14.19,804.0397904000714,45.3873582357575,38.849662115,-104.822681173,3,u'2021-02-16T00:55:52.000Z',1853.302,2.107,2.854,8.223,0.023,,,05:01:44.752676
273,-14.22,804.0517089768454,44.88865966243699,38.849661325,-104.82267745,3,u'2021-02-16T00:55:55.000Z',1853.745,2.107,2.854,8.223,0.034,,,05:01:46.752123
274,-14.26,804.0585130582397,43.57559770878252,38.849658267,-104.822676242,3,u'2021-02-16T00:55:58.000Z',1853.529,2.107,2.854,8.223,0.015,,,05:01:49.761683
275,-14.3,804.0938621686396,43.076620369113655,,,,,,,,,,0.95,1.43,05:01:52.755025
276,-14.34,804.0633107758935,43.17215894803809,38.849657405,-104.822679097,3,u'2021-02-16T00:56:03.000Z',1852.5,2.107,2.854,8.223,0.032,,,05:01:55.033182
277,-14.37,804.0805278142718,43.182152852344366,38.849656963,-104.822683488,3,u'2021-02-16T00:56:06.000Z',1852.418,2.107,2.854,8.223,0.021,,,05:01:57.756299
278,-14.41,804.0747742344776,43.283009465812874,38.849655109,-104.822688311,3,u'2021-02-16T00:56:09.000Z',1851.876,2.107,2.854,8.223,0.062,,,05:02:00.754302
279,-14.45,804.0386348418808,43.598112312769224,38.849654586,-104.822689456,3,u'2021-02-16T00:56:11.000Z',1851.598,2.112,2.866,8.223,0.043,,,05:02:03.754602
280,-14.47,804.0358893032479,43.76895623921226,38.849654131,-104.822689895,3,u'2021-02-16T00:56:14.000Z',1850.72,2.112,2.866,8.28,0.002,,,05:02:05.755668
281,-14.51,804.0248154940191,43.21141189112702,38.849655665,-104.822685732,3,u'2021-02-16T00:56:17.000Z',1849.951,2.112,2.866,8.28,0.048,,,05:02:08.778610
282,-14.54,804.0294807780612,43.76736704141059,38.849657347,-104.822682497,3,u'2021-02-16T00:56:20.000Z',1849.607,2.112,2.866,8.28,0.056,,,05:02:11.754880
283,-14.56,804.0699040834533,44.3179807373593,38.849657549,-104.822680218,3,u'2021-02-16T00:56:22.000Z',1849.531,2.107,2.854,8.28,0.055,,,05:02:14.756155
284,-14.59,804.0439210002093,44.83626685415523,38.849658768,-104.822679472,3,u'2021-02-16T00:56:25.000Z',1850.256,2.107,2.854,8.28,0.077,,,05:02:16.755930
285,-14.61,804.0697058891737,46.06599858611967,38.84965758,-104.822679181,3,u'2021-02-16T00:56:28.000Z',1851.376,2.107,2.854,8.28,0.046,,,05:02:19.755167
286,-14.64,804.074357323483,46.53556799481489,,,,,,,,,,0.95,1.44,05:02:22.755562
287,-14.67,804.0646449410816,46.31026037660882,38.849656506,-104.822681248,3,u'2021-02-16T00:56:33.000Z',1852.417,2.107,2.853,8.28,0.09,,,05:02:25.047449
288,-14.59,804.213783104466,45.965043141135844,38.849657056,-104.822683318,3,u'2021-02-16T00:56:36.000Z',1852.899,2.107,2.853,8.223,0.06,,,05:02:27.754582
289,-14.62,804.2186967430697,45.1671988215492,38.849657863,-104.822683851,3,u'2021-02-16T00:56:39.000Z',1852.947,2.107,2.853,8.223,0.025,,,05:02:30.758139
290,-14.65,804.223338987247,45.84551103084379,38.849657814,-104.822684496,3,u'2021-02-16T00:56:41.000Z',1852.922,2.107,2.853,8.223,0.011,,,05:02:33.758181
291,-14.67,804.205949714243,45.77563653639609,38.849657881,-104.822682538,3,u'2021-02-16T00:56:44.000Z',1852.498,2.107,2.853,8.28,0.058,,,05:02:35.757900
292,-14.7,804.2265947335566,45.87636607345217,38.849657375,-104.822681127,3,u'2021-02-16T00:56:47.000Z',1852.345,2.107,2.853,8.28,0.031,,,05:02:38.754116
293,-14.71,804.2627987595931,46.73144428297665,38.849658391,-104.822678697,3,u'2021-02-16T00:56:50.000Z',1852.205,2.107,2.853,8.28,0.024,,,05:02:41.762068
294,-14.73,804.253074564061,47.494924857920076,38.84965883,-104.822675495,3,u'2021-02-16T00:56:52.000Z',1851.937,2.107,2.853,8.28,0.111,,,05:02:44.761395
295,-14.74,804.2426401014781,47.745824740369166,38.849658242,-104.82267444,3,u'2021-02-16T00:56:55.000Z',1851.827,2.107,2.853,8.28,0.015,,,05:02:46.761834
296,-14.78,804.1832455562362,46.97494870514323,38.849659001,-104.822675347,3,u'2021-02-16T00:56:58.000Z',1851.563,2.107,2.853,8.28,0.048,,,05:02:49.758228
297,-14.8,804.2428433003826,45.67019466404647,,,,,,,,,,0.83,1.44,05:02:52.763031
298,-14.82,804.1934424023162,45.15114255572167,38.849661443,-104.822731369,3,u'2021-02-16T00:57:03.000Z',1853.474,2.107,2.853,8.28,1.343,,,05:02:55.092758
299,-14.82,804.0897520213201,45.076225705102786,38.849662309,-104.822780061,3,u'2021-02-16T00:57:06.000Z',1853.514,2.107,2.853,8.28,1.141,,,05:02:57.763310
300,-14.78,804.0579718877487,45.938058087809175,38.849661408,-104.822830313,3,u'2021-02-16T00:57:09.000Z',1853.893,2.107,2.853,8.28,1.448,,,05:03:00.760800
301,-14.76,804.0857917619049,46.58008292277217,38.849663938,-104.822864029,3,u'2021-02-16T00:57:11.000Z',1854.118,2.108,2.866,8.28,1.313,,,05:03:03.789015
302,-14.75,804.1157075319538,47.60121391501345,38.849665757,-104.822904578,3,u'2021-02-16T00:57:14.000Z',1854.362,2.108,2.866,8.28,1.222,,,05:03:05.764977
303,-14.61,804.1198295381535,49.28378230471069,38.849667514,-104.822947583,3,u'2021-02-16T00:57:17.000Z',1854.167,2.108,2.866,8.28,1.101,,,05:03:08.763678
304,-14.62,804.0752824355847,49.54537149192023,38.849667213,-104.822989338,3,u'2021-02-16T00:57:20.000Z',1854.416,2.108,2.866,8.28,1.369,,,05:03:11.762585
305,-14.59,804.1225859500619,49.738642266727716,38.849664257,-104.823022546,3,u'2021-02-16T00:57:22.000Z',1853.963,2.114,2.857,8.28,1.148,,,05:03:14.764510
306,-14.59,804.1567025072686,49.476771243725246,38.84966441,-104.823062237,3,u'2021-02-16T00:57:25.000Z',1853.766,2.114,2.857,8.28,1.351,,,05:03:16.764558
307,-14.56,804.1053992700191,49.93756663619776,38.849667953,-104.82309968,3,u'2021-02-16T00:57:28.000Z',1854.218,2.114,2.857,8.28,1.128,,,05:03:19.764022
308,-14.54,804.060123923561,49.95407929760933,,,,,,,,,,0.83,1.44,05:03:22.763879
309,-14.51,804.0930596918432,50.27056445085734,38.849623888,-104.823144785,3,u'2021-02-16T00:57:33.000Z',1853.056,2.112,2.861,8.28,1.289,,,05:03:25.104587
310,-14.46,804.087398140497,50.20308517190877,38.849589171,-104.823144717,3,u'2021-02-16T00:57:36.000Z',1852.087,2.112,2.861,8.28,1.3,,,05:03:27.763706
311,-14.33,804.0737404602432,50.97224860551748,38.849551545,-104.823145177,3,u'2021-02-16T00:57:39.000Z',1851.79,2.112,2.861,8.338,1.533,,,05:03:30.762746
312,-14.2,804.0509644243041,51.581489517794836,38.849523835,-104.823140568,3,u'2021-02-16T00:57:41.000Z',1851.354,2.262,2.884,8.338,1.401,,,05:03:33.763154
313,-14.12,804.1213761223916,52.0444789592383,38.849488403,-104.823141958,3,u'2021-02-16T00:57:44.000Z',1850.962,2.262,2.884,8.338,1.175,,,05:03:35.761053
314,-14.02,804.1139321885986,52.75458695290383,38.849453092,-104.823140889,3,u'2021-02-16T00:57:47.000Z',1850.363,2.262,2.884,32.373,1.397,,,05:03:38.762734
315,-13.98,804.1879533877869,52.76687978115687,38.84941451,-104.823141336,3,u'2021-02-16T00:57:50.000Z',1851.441,2.262,2.884,7.245,1.445,,,05:03:41.785330
316,-13.97,804.1119347070031,52.94942180560511,38.849391709,-104.823145018,3,u'2021-02-16T00:57:52.000Z',1851.715,2.049,2.563,7.245,1.363,,,05:03:44.766222
317,-13.94,804.1413696564261,53.14324976470915,38.849358598,-104.823165805,3,u'2021-02-16T00:57:55.000Z',1852.343,2.049,2.563,7.245,1.504,,,05:03:46.768195
318,-13.9,804.1273074727571,53.225062183292266,38.849343364,-104.823212291,3,u'2021-02-16T00:57:58.000Z',1851.621,2.049,2.563,7.245,1.36,,,05:03:49.779383
319,-13.84,804.1036736198814,53.473563728061244,,,,,,,,,,0.78,1.26,05:03:52.768362
320,-13.81,804.0989363006828,53.61411354195849,38.849341048,-104.82329522,3,u'2021-02-16T00:58:03.000Z',1851.908,2.049,2.563,7.303,1.276,,,05:03:55.122349
321,-13.76,804.1150482645583,53.7072771835926,38.849343723,-104.823343847,3,u'2021-02-16T00:58:06.000Z',1852.64,2.049,2.563,7.303,1.37,,,05:03:57.809755
322,-13.7,804.119958704663,53.72072654867151,38.849346402,-104.823397124,3,u'2021-02-16T00:58:09.000Z',1852.366,2.049,2.563,7.303,1.381,,,05:04:00.765324
323,-13.65,804.0837321930258,53.65918200089335,38.849345724,-104.823428724,3,u'2021-02-16T00:58:11.000Z',1851.79,2.049,2.563,7.303,1.276,,,05:04:03.780492
324,-13.61,804.1145006396632,53.62365133713044,38.849347295,-104.823476846,3,u'2021-02-16T00:58:14.000Z',1851.079,2.049,2.563,7.303,1.515,,,05:04:05.779568
325,-13.55,804.0496710952908,53.44960894083422,38.849351393,-104.823527015,3,u'2021-02-16T00:58:17.000Z',1850.083,2.049,2.563,7.303,1.359,,,05:04:08.765794
